target,n,binders,auroc,ci_lo,ci_hi,reliability
nipah-glycoprotein-g,154,15,0.929,0.839,0.988,OK
egfr,123,19,0.988,0.971,1.0,OK
il7r,14,9,0.8,0.386,1.0,low-n
pd-l1,12,6,0.778,0.438,1.0,low-n
human-insulin-receptor,5,3,0.333,0.0,1.0,UNRELIABLE
human-mzb1-perp1,5,3,1.0,1.0,1.0,UNRELIABLE
human-pmvk,5,2,0.667,0.0,1.0,UNRELIABLE
fcrn,4,1,1.0,1.0,1.0,UNRELIABLE
human-pdgfr-beta,4,2,0.5,0.0,1.0,UNRELIABLE
mdm2,4,1,1.0,1.0,1.0,UNRELIABLE
der7,3,1,1.0,1.0,1.0,UNRELIABLE
fgf-r1,3,1,1.0,1.0,1.0,UNRELIABLE
ifnar2,3,1,0.5,0.0,1.0,UNRELIABLE
spcas9,3,2,1.0,1.0,1.0,UNRELIABLE
human-phyh,2,1,1.0,1.0,1.0,UNRELIABLE
